count,generation,mean,median,p_above_threshold,p_argmax,severity,suite
5495,18,0.4552725573016974,0.05133928571428495,0.18362147406733395,0.049681528662420385,compressible,D03 Type-I
5760,19,0.8699788721533762,0.02901785714285671,0.2074652777777778,0.14722222222222223,resource,D03 Type-I
5760,19,0.04732088121922816,0.009915716410510495,0.010763888888888889,0.010416666666666666,kv,D03 Type-I
5760,19,2.0750819395005617,1.5526018099547514,0.6901041666666666,0.4487847222222222,region,D03 Type-I
5760,19,0.4022791387051488,0.0,0.17708333333333334,0.15104166666666666,tou,D03 Type-I
5760,19,1.2168673661025382,1.1614435621100399,0.7104166666666667,0.18350694444444443,demand,D03 Type-I
5760,19,0.4300300765353767,0.05167958656330638,0.1605902777777778,0.059027777777777776,compressible,D03 Type-I
5785,20,0.7804012536660206,0.02008928571428541,0.19913569576490925,0.1348314606741573,resource,D03 Type-I
5785,20,0.07959712393117857,0.01020408163265283,0.025583405358686258,0.023681936041486603,kv,D03 Type-I
5785,20,2.1155078476143148,1.6907514450867045,0.6959377700950735,0.4703543647363872,region,D03 Type-I
5785,20,0.42619279070516547,0.0,0.18755401901469318,0.16681071737251513,tou,D03 Type-I
5785,20,1.2037263019435906,1.1364325264581019,0.7063094209161624,0.16369922212618843,demand,D03 Type-I
5785,20,0.4276174172984169,0.041608876560331916,0.16663785652549698,0.04062229904926534,compressible,D03 Type-I
5555,21,0.7804768219412264,0.020804438280165958,0.1882988298829883,0.13825382538253825,resource,D03 Type-I
5555,21,0.056840739334531494,0.01020408163265283,0.019801980198019802,0.016201620162016202,kv,D03 Type-I
5555,21,2.183363017177321,1.6907514450867045,0.7161116111611161,0.4801080108010801,region,D03 Type-I
5555,21,0.39377954438213997,0.0,0.17281728172817282,0.1476147614761476,tou,D03 Type-I
5555,21,1.215084957130714,1.1614435621100399,0.7135913591359135,0.1863186318631863,demand,D03 Type-I
5555,21,0.42695958755167013,0.047210300429183866,0.17623762376237623,0.0315031503150315,compressible,D03 Type-I
5925,22,0.8375491587523676,0.019313304721029764,0.2021940928270042,0.1431223628691983,resource,D03 Type-I
5925,22,0.055289606612519075,0.009937888198757681,0.019409282700421943,0.016877637130801686,kv,D03 Type-I
5925,22,2.1315108510413205,1.5999999999999996,0.7039662447257384,0.46329113924050636,region,D03 Type-I
5925,22,0.37220905268520116,0.0,0.16371308016877636,0.14767932489451477,tou,D03 Type-I
5925,22,1.2256375406896476,1.1571097883597885,0.7005907172995781,0.1961181434599156,demand,D03 Type-I
5925,22,0.40602904561185066,0.047770700636941665,0.1589873417721519,0.03291139240506329,compressible,D03 Type-I
5750,23,0.8224993415764518,0.017337031900138297,0.19495652173913045,0.14956521739130435,resource,D03 Type-I
5750,23,0.0584618684378735,0.010217983651225927,0.018260869565217393,0.01652173913043478,kv,D03 Type-I
5750,23,2.1506978523806524,1.7414050822122569,0.7278260869565217,0.4747826086956522,region,D03 Type-I
5750,23,0.411378317050029,0.0,0.1808695652173913,0.15565217391304348,tou,D03 Type-I
5750,23,1.2139653325993394,1.1483333333333332,0.7118260869565217,0.1791304347826087,demand,D03 Type-I
5750,23,0.4048290054296687,0.04521963824289309,0.15878260869565217,0.02434782608695652,compressible,D03 Type-I
4850,24,0.7806317435216072,0.017337031900138297,0.18865979381443299,0.13690721649484536,resource,D03 Type-I
4850,24,0.06400395334798403,0.010231923601636874,0.027422680412371135,0.013402061855670102,kv,D03 Type-I
4850,24,2.2268925805035655,1.7073778793691314,0.7480412371134021,0.49587628865979383,region,D03 Type-I
4850,24,0.4002838709776512,0.0,0.17628865979381445,0.15051546391752577,tou,D03 Type-I
4850,24,1.2279519691985905,1.1707936507936507,0.7274226804123711,0.1888659793814433,demand,D03 Type-I
4850,24,0.37936689333459495,0.041608876560331916,0.14061855670103093,0.01443298969072165,compressible,D03 Type-I
5630,25,0.8016593060510626,0.03346720214190019,0.20408525754884546,0.13357015985790407,resource,D03 Type-I
5630,25,0.059675999078740584,0.010386912490262178,0.019538188277087035,0.011545293072824156,kv,D03 Type-I
5630,25,2.288922380698315,1.8528610354223432,0.7840142095914743,0.5,region,D03 Type-I
5630,25,0.3649885259249384,0.0,0.16074600355239788,0.13143872113676733,tou,D03 Type-I
5630,25,1.2244933602648544,1.1756425256425256,0.716696269982238,0.18614564831261102,demand,D03 Type-I
