suite,bin,action,share,n,positive,success,reward,no_feasible
D03-I,41-50,A5,0.04666546503244413,2589,180,0.06952491309385864,-0.008395488308057477,0.1533410583236771
D03-I,41-50,A6,0.09504325883201153,5273,6,0.0011378721790252229,0.00940688342999783,0.0
D03-I,41-50,A7,0.31061643835616437,17233,3355,0.19468461672372772,0.5835723844903595,0.026518888179655312
D03-I,41-50,A8,0.014131218457101658,784,21,0.026785714285714284,-0.3579349178517135,0.5012755102040817
D03-II,1-10,A1,0.15597843323818586,2459,1155,0.46970313135420905,2.1868717665453556,0.0
D03-II,1-10,A2,0.21110053916904536,3328,1767,0.5309495192307693,2.6676285828047743,0.0
D03-II,1-10,A3,0.11550903901046622,1821,641,0.35200439319055465,1.5648134406577392,0.0
D03-II,1-10,A4,0.08392007611798287,1323,458,0.34618291761148906,1.2578309452736138,0.03250188964474679
D03-II,1-10,A5,0.038820171265461466,612,39,0.06372549019607843,-0.5283205961681847,0.75
D03-II,1-10,A6,0.10580399619410086,1668,468,0.2805755395683453,1.9609646881395568,0.0
D03-II,1-10,A7,0.20107833809070727,3170,1726,0.5444794952681388,2.3090209478075185,0.0
D03-II,1-10,A8,0.08778940691405011,1384,371,0.2680635838150289,1.942608716153546,0.15173410404624277
D03-II,11-20,A1,0.14821173104434907,2590,555,0.21428571428571427,0.8485510032041995,0.0
D03-II,11-20,A2,0.17487839771101574,3056,777,0.25425392670157065,1.1605608137253833,0.0
D03-II,11-20,A3,0.10071530758226037,1760,307,0.1744318181818182,0.5689794710557827,0.0
D03-II,11-20,A4,0.09110157367668097,1592,246,0.15452261306532664,0.48842753808911676,0.010678391959798994
D03-II,11-20,A5,0.036394849785407725,636,11,0.01729559748427673,-0.7557812811749118,0.8018867924528302
D03-II,11-20,A6,0.06718168812589413,1174,28,0.02385008517887564,0.14075398358550184,0.0
D03-II,11-20,A7,0.3023175965665236,5283,2571,0.48665530948324814,1.5477524158997662,0.0
D03-II,11-20,A8,0.07919885550786838,1384,200,0.14450867052023122,0.881551873654672,0.3063583815028902
D03-II,21-30,A1,0.10045918367346938,1969,188,0.09547993905535805,0.3262880075907653,0.0
D03-II,21-30,A2,0.14688775510204083,2879,398,0.13824244529350468,0.6368021620626317,0.0
D03-II,21-30,A3,0.08836734693877552,1732,131,0.075635103926097,0.20608064393443742,0.0
D03-II,21-30,A4,0.09198979591836735,1803,150,0.08319467554076539,0.2332524504789993,0.00776483638380477
D03-II,21-30,A5,0.02826530612244898,554,4,0.007220216606498195,-0.7685144440528516,0.7978339350180506
D03-II,21-30,A6,0.0633673469387755,1242,5,0.004025764895330112,0.02745129093753595,0.0
D03-II,21-30,A7,0.4234183673469388,8299,3122,0.37618990239787925,0.9385819153533874,0.0
