suite,state,action,n,positive,success,reward,no_feasible
D03-II,22,A3,1738,273,0.1570771001150748,0.5222324636825463,0.0
D03-II,22,A4,1717,247,0.14385556202679092,0.42959634645178274,0.0023296447291788003
D03-II,22,A5,538,12,0.022304832713754646,-0.7522574140887545,0.8252788104089219
D03-II,22,A6,1358,137,0.10088365243004419,0.6688550743027638,0.0
D03-II,22,A7,9362,3504,0.3742790002136296,0.8583056715749706,0.0
D03-II,22,A8,1012,124,0.1225296442687747,0.6246564079433771,0.29051383399209485
D03-II,23,A1,1409,157,0.11142654364797729,0.45458999448599063,0.0
D03-II,23,A2,2085,275,0.13189448441247004,0.6023496269378167,0.0
D03-II,23,A3,1185,78,0.06582278481012659,0.1973088105751743,0.0
D03-II,23,A4,1333,92,0.0690172543135784,0.20077849912475612,0.0
D03-II,23,A5,209,2,0.009569377990430622,-0.8300342457722806,0.8851674641148325
D03-II,23,A6,815,10,0.012269938650306749,0.0743548040047421,0.0
D03-II,23,A7,5499,1427,0.259501727586834,0.556185521078381,0.0
D03-II,23,A8,431,25,0.058004640371229696,0.08100650033649048,0.2853828306264501
D03-II,24,A1,11,10,0.9090909090909091,3.973247692307694,0.0
D03-II,24,A2,45,34,0.7555555555555555,4.29767055448282,0.0
D03-II,24,A3,21,11,0.5238095238095238,2.5568733710329115,0.0
D03-II,24,A4,34,12,0.35294117647058826,1.2472231149374298,0.0
D03-II,24,A5,9,2,0.2222222222222222,-0.5434124691498634,0.6666666666666666
D03-II,24,A6,12,9,0.75,6.678236118479315,0.0
D03-II,24,A7,15,10,0.6666666666666666,4.050657753361771,0.0
D03-II,24,A8,18,9,0.5,2.916884000671841,0.2222222222222222
D03-II,34,A1,311,61,0.19614147909967847,0.8762725043684735,0.0
D03-II,34,A2,351,116,0.33048433048433046,1.977958429643233,0.0
D03-II,34,A3,241,37,0.15352697095435686,0.9108898604532839,0.0
D03-II,34,A4,338,76,0.22485207100591717,0.7305779604670845,0.0
D03-II,34,A5,84,6,0.07142857142857142,-0.49241493830690597,0.7023809523809523
D03-II,34,A6,247,74,0.29959514170040485,2.164796105448998,0.0
D03-II,34,A7,683,266,0.38945827232796487,2.4028785468939478,0.0
D03-II,34,A8,190,57,0.3,2.2799735724360026,0.32105263157894737
D03-II,35,A1,145,12,0.08275862068965517,0.22249630881996008,0.0
D03-II,35,A2,211,30,0.14218009478672985,0.8355290034846652,0.0
D03-II,35,A3,113,3,0.02654867256637168,0.16800418234774742,0.0
D03-II,35,A4,190,41,0.21578947368421053,1.0252317804887994,0.0
D03-II,35,A5,51,2,0.0392156862745098,-0.38287819707083814,0.5294117647058824
D03-II,35,A6,101,5,0.04950495049504951,0.44432325669785583,0.0
D03-II,35,A7,663,209,0.3152337858220211,1.7346338929372902,0.0
D03-II,35,A8,62,11,0.1774193548387097,1.1473862257599248,0.5483870967741935
D03-II,36,A1,1094,364,0.3327239488117002,1.57611538485445,0.0
D03-II,36,A2,1344,466,0.34672619047619047,1.9393742946781594,0.0
D03-II,36,A3,779,155,0.19897304236200256,0.9348363510255842,0.0
D03-II,36,A4,882,212,0.24036281179138322,0.8766854620946927,0.0
D03-II,36,A5,311,14,0.04501607717041801,-0.4716167487133684,0.6077170418006431
D03-II,36,A6,585,71,0.12136752136752137,0.9584253332169484,0.0
D03-II,36,A7,3247,1501,0.4622728672620881,2.1128563815274597,0.0
D03-II,36,A8,654,147,0.22477064220183487,1.6725195645249895,0.29204892966360857
D03-II,37,A1,684,122,0.1783625730994152,0.7371267101490829,0.0
D03-II,37,A2,788,141,0.17893401015228427,0.8693104380342391,0.0
D03-II,37,A3,572,87,0.1520979020979021,0.6361451511217278,0.0
D03-II,37,A4,557,99,0.17773788150807898,0.5741907433580774,0.0
D03-II,37,A5,193,6,0.031088082901554404,-0.4804530114581894,0.5595854922279793
D03-II,37,A6,358,8,0.0223463687150838,0.1226117960450951,0.0
D03-II,37,A7,2735,1126,0.4117001828153565,2.001037164386477,0.0
D03-II,37,A8,435,87,0.2,1.3728434645960386,0.39770114942528734
D03-II,38,A2,1,1,1.0,0.404774258215046,0.0
D03-II,38,A3,13,5,0.38461538461538464,1.9889694992339517,0.0
D03-II,38,A4,3,1,0.3333333333333333,0.5840306815060241,0.0
D03-II,38,A5,3,0,0.0,-0.6666666666666666,0.6666666666666666
D03-II,38,A8,14,7,0.5,4.041312662716177,0.0
D03-II,39,A2,1,0,0.0,0.0,0.0
D03-II,39,A7,1,1,1.0,9.990875790178048,0.0
