suite,state,action,n,positive,success,reward,no_feasible
D03-I,31,A3,426,8,0.018779342723004695,0.061360508843708604,0.0
D03-I,31,A4,827,105,0.12696493349455865,0.4545029251903186,0.0
D03-I,31,A5,859,165,0.1920838183934808,0.5546941725566954,0.0
D03-I,31,A6,344,14,0.040697674418604654,0.29208299413691896,0.0
D03-I,31,A7,1118,130,0.11627906976744186,0.58618346779444,0.018783542039355994
D03-I,31,A8,153,12,0.0784313725490196,-0.12101298389395734,0.7058823529411765
D03-I,32,A1,184,65,0.3532608695652174,2.2277960844155023,0.0
D03-I,32,A2,283,106,0.3745583038869258,2.611193585509268,0.0
D03-I,32,A3,107,13,0.12149532710280374,0.7019086723978308,0.0
D03-I,32,A4,63,0,0.0,-0.8095238095238095,0.8095238095238095
D03-I,32,A5,58,0,0.0,-1.0,1.0
D03-I,32,A6,197,73,0.37055837563451777,2.6600824341289333,0.0
D03-I,32,A7,482,240,0.4979253112033195,4.044227955871049,0.0
D03-I,32,A8,180,76,0.4222222222222222,3.4670923041026143,0.18333333333333332
D03-I,33,A1,22,2,0.09090909090909091,0.4470938834639416,0.0
D03-I,33,A2,35,8,0.22857142857142856,1.7403124884900742,0.0
D03-I,33,A3,15,2,0.13333333333333333,1.0235478747019784,0.0
D03-I,33,A4,23,0,0.0,-0.8260869565217391,0.8260869565217391
D03-I,33,A5,12,0,0.0,-1.0,1.0
D03-I,33,A6,37,1,0.02702702702702703,0.25045011552791624,0.0
D03-I,33,A7,226,99,0.43805309734513276,3.472880712956766,0.0
D03-I,33,A8,53,23,0.4339622641509434,3.5270037659302518,0.3018867924528302
D03-I,34,A1,2905,866,0.2981067125645439,1.407063099270373,0.0
D03-I,34,A2,3143,913,0.29048679605472477,1.7321475064151965,0.0
D03-I,34,A3,1305,75,0.05747126436781609,0.3286972194332569,0.0
D03-I,34,A4,1679,355,0.2114353782013103,0.7740359817162361,0.053007742703990474
D03-I,34,A5,772,118,0.15284974093264247,0.08150001352338364,0.37823834196891193
