suite,generation,condition,n,total,share
D03-I,42,Demand,861,5425,0.15870967741935485
D03-I,42,Compressible,78,5425,0.014377880184331797
D03-I,43,Normal,226,5330,0.042401500938086305
D03-I,43,Resource,593,5330,0.11125703564727955
D03-I,43,KV,27,5330,0.005065666041275798
D03-I,43,Region,2786,5330,0.522701688555347
D03-I,43,TOU,790,5330,0.14821763602251406
D03-I,43,Demand,818,5330,0.15347091932457785
D03-I,43,Compressible,90,5330,0.016885553470919325
D03-I,44,Normal,236,5665,0.04165931156222418
D03-I,44,Resource,673,5665,0.11879964695498677
D03-I,44,KV,20,5665,0.00353045013239188
D03-I,44,Region,2892,5665,0.5105030891438659
D03-I,44,TOU,790,5665,0.13945278022947927
D03-I,44,Demand,967,5665,0.1706972639011474
D03-I,44,Compressible,87,5665,0.015357458075904678
D03-I,45,Normal,205,5195,0.03946102021174206
D03-I,45,Resource,670,5195,0.1289701636188643
D03-I,45,KV,46,5195,0.008854667949951878
D03-I,45,Region,2700,5195,0.519730510105871
D03-I,45,TOU,666,5195,0.12820019249278153
D03-I,45,Demand,799,5195,0.1538017324350337
D03-I,45,Compressible,109,5195,0.020981713185755535
D03-I,46,Normal,223,5590,0.039892665474060826
D03-I,46,Resource,755,5590,0.13506261180679785
D03-I,46,KV,32,5590,0.005724508050089445
D03-I,46,Region,2834,5590,0.5069767441860465
D03-I,46,TOU,677,5590,0.12110912343470483
D03-I,46,Demand,936,5590,0.16744186046511628
D03-I,46,Compressible,133,5590,0.023792486583184256
D03-I,47,Normal,240,5870,0.04088586030664395
D03-I,47,Resource,715,5870,0.12180579216354344
D03-I,47,KV,40,5870,0.0068143100511073255
D03-I,47,Region,3051,5870,0.5197614991482112
D03-I,47,TOU,820,5870,0.13969335604770017
D03-I,47,Demand,873,5870,0.14872231686541737
D03-I,47,Compressible,131,5870,0.02231686541737649
D03-I,48,Normal,186,5385,0.03454038997214485
D03-I,48,Resource,697,5385,0.12943361188486538
D03-I,48,KV,45,5385,0.008356545961002786
D03-I,48,Region,2711,5385,0.503435468895079
D03-I,48,TOU,680,5385,0.12627669452181986
D03-I,48,Demand,894,5385,0.166016713091922
D03-I,48,Compressible,172,5385,0.0319405756731662
D03-I,49,Normal,240,5510,0.043557168784029036
D03-I,49,Resource,750,5510,0.13611615245009073
D03-I,49,KV,45,5510,0.008166969147005444
D03-I,49,Region,2693,5510,0.48874773139745914
D03-I,49,TOU,770,5510,0.1397459165154265
D03-I,49,Demand,788,5510,0.14301270417422868
D03-I,49,Compressible,224,5510,0.040653357531760435
D03-I,50,Normal,235,5950,0.03949579831932773
D03-I,50,Resource,690,5950,0.11596638655462185
D03-I,50,KV,39,5950,0.006554621848739495
D03-I,50,Region,3110,5950,0.5226890756302521
D03-I,50,TOU,895,5950,0.15042016806722688
D03-I,50,Demand,818,5950,0.13747899159663865
D03-I,50,Compressible,163,5950,0.027394957983193278
D03-II,1,Normal,0,2015,0.0
D03-II,1,Resource,0,2015,0.0
D03-II,1,KV,0,2015,0.0
D03-II,1,Region,446,2015,0.22133995037220844
D03-II,1,TOU,1328,2015,0.6590570719602977
D03-II,1,Demand,236,2015,0.11712158808933003
D03-II,1,Compressible,5,2015,0.0024813895781637717
D03-II,2,Normal,0,1880,0.0
D03-II,2,Resource,0,1880,0.0
D03-II,2,KV,0,1880,0.0
D03-II,2,Region,414,1880,0.22021276595744682
D03-II,2,TOU,1340,1880,0.7127659574468085
D03-II,2,Demand,126,1880,0.06702127659574468
D03-II,2,Compressible,0,1880,0.0
D03-II,3,Normal,0,1470,0.0
D03-II,3,Resource,0,1470,0.0
D03-II,3,KV,0,1470,0.0
D03-II,3,Region,324,1470,0.22040816326530613
D03-II,3,TOU,1120,1470,0.7619047619047619
D03-II,3,Demand,26,1470,0.017687074829931974
D03-II,3,Compressible,0,1470,0.0
D03-II,4,Normal,0,1385,0.0
D03-II,4,Resource,0,1385,0.0
D03-II,4,KV,0,1385,0.0
D03-II,4,Region,279,1385,0.20144404332129964
D03-II,4,TOU,1078,1385,0.7783393501805054
D03-II,4,Demand,28,1385,0.020216606498194945
D03-II,4,Compressible,0,1385,0.0
D03-II,5,Normal,0,1255,0.0
D03-II,5,Resource,0,1255,0.0
D03-II,5,KV,0,1255,0.0
D03-II,5,Region,332,1255,0.2645418326693227
D03-II,5,TOU,907,1255,0.7227091633466135
D03-II,5,Demand,16,1255,0.012749003984063745
D03-II,5,Compressible,0,1255,0.0
D03-II,6,Normal,0,1570,0.0
D03-II,6,Resource,0,1570,0.0
D03-II,6,KV,0,1570,0.0
D03-II,6,Region,345,1570,0.2197452229299363
D03-II,6,TOU,1205,1570,0.767515923566879
D03-II,6,Demand,20,1570,0.012738853503184714
D03-II,6,Compressible,0,1570,0.0
D03-II,7,Normal,0,1495,0.0
D03-II,7,Resource,0,1495,0.0
D03-II,7,KV,0,1495,0.0
D03-II,7,Region,253,1495,0.16923076923076924
D03-II,7,TOU,1234,1495,0.8254180602006689
D03-II,7,Demand,8,1495,0.005351170568561873
D03-II,7,Compressible,0,1495,0.0
D03-II,8,Normal,0,1490,0.0
D03-II,8,Resource,0,1490,0.0
D03-II,8,KV,0,1490,0.0
D03-II,8,Region,203,1490,0.13624161073825503
D03-II,8,TOU,1287,1490,0.863758389261745
D03-II,8,Demand,0,1490,0.0
D03-II,8,Compressible,0,1490,0.0
D03-II,9,Normal,0,1525,0.0
D03-II,9,Resource,0,1525,0.0
D03-II,9,KV,0,1525,0.0
D03-II,9,Region,193,1525,0.12655737704918033
D03-II,9,TOU,1327,1525,0.8701639344262295
D03-II,9,Demand,5,1525,0.003278688524590164
D03-II,9,Compressible,0,1525,0.0
D03-II,10,Normal,0,1680,0.0
D03-II,10,Resource,0,1680,0.0
D03-II,10,KV,0,1680,0.0
D03-II,10,Region,229,1680,0.1363095238095238
D03-II,10,TOU,1441,1680,0.8577380952380952
D03-II,10,Demand,10,1680,0.005952380952380952
D03-II,10,Compressible,0,1680,0.0
D03-II,11,Normal,0,1730,0.0
D03-II,11,Resource,0,1730,0.0
D03-II,11,KV,0,1730,0.0
D03-II,11,Region,179,1730,0.10346820809248555
D03-II,11,TOU,1541,1730,0.8907514450867052
D03-II,11,Demand,10,1730,0.005780346820809248
D03-II,11,Compressible,0,1730,0.0
D03-II,12,Normal,0,1730,0.0
D03-II,12,Resource,0,1730,0.0
D03-II,12,KV,0,1730,0.0
D03-II,12,Region,283,1730,0.16358381502890174
D03-II,12,TOU,1437,1730,0.830635838150289
D03-II,12,Demand,10,1730,0.005780346820809248
D03-II,12,Compressible,0,1730,0.0
D03-II,13,Normal,0,1975,0.0
D03-II,13,Resource,0,1975,0.0
D03-II,13,KV,0,1975,0.0
D03-II,13,Region,299,1975,0.15139240506329113
D03-II,13,TOU,1671,1975,0.8460759493670886
D03-II,13,Demand,5,1975,0.002531645569620253
D03-II,13,Compressible,0,1975,0.0
D03-II,14,Normal,0,1720,0.0
D03-II,14,Resource,0,1720,0.0
D03-II,14,KV,0,1720,0.0
D03-II,14,Region,210,1720,0.12209302325581395
D03-II,14,TOU,1505,1720,0.875
D03-II,14,Demand,5,1720,0.0029069767441860465
D03-II,14,Compressible,0,1720,0.0
D03-II,15,Normal,0,1775,0.0
D03-II,15,Resource,0,1775,0.0
D03-II,15,KV,0,1775,0.0
D03-II,15,Region,217,1775,0.12225352112676056
D03-II,15,TOU,1558,1775,0.8777464788732394
D03-II,15,Demand,0,1775,0.0
D03-II,15,Compressible,0,1775,0.0
D03-II,16,Normal,0,1565,0.0
D03-II,16,Resource,0,1565,0.0
D03-II,16,KV,0,1565,0.0
D03-II,16,Region,212,1565,0.13546325878594248
D03-II,16,TOU,1343,1565,0.85814696485623
D03-II,16,Demand,10,1565,0.006389776357827476
D03-II,16,Compressible,0,1565,0.0
D03-II,17,Normal,0,1680,0.0
D03-II,17,Resource,0,1680,0.0
D03-II,17,KV,0,1680,0.0
D03-II,17,Region,200,1680,0.11904761904761904
D03-II,17,TOU,1478,1680,0.8797619047619047
D03-II,17,Demand,2,1680,0.0011904761904761906
D03-II,17,Compressible,0,1680,0.0
D03-II,18,Normal,0,1695,0.0
D03-II,18,Resource,0,1695,0.0
D03-II,18,KV,0,1695,0.0
D03-II,18,Region,223,1695,0.13156342182890857
D03-II,18,TOU,1467,1695,0.8654867256637168
D03-II,18,Demand,5,1695,0.0029498525073746312
D03-II,18,Compressible,0,1695,0.0
D03-II,19,Normal,0,1715,0.0
D03-II,19,Resource,0,1715,0.0
D03-II,19,KV,0,1715,0.0
D03-II,19,Region,265,1715,0.15451895043731778
D03-II,19,TOU,1450,1715,0.8454810495626822
D03-II,19,Demand,0,1715,0.0
D03-II,19,Compressible,0,1715,0.0
D03-II,20,Normal,0,1890,0.0
D03-II,20,Resource,0,1890,0.0
D03-II,20,KV,0,1890,0.0
D03-II,20,Region,251,1890,0.1328042328042328
D03-II,20,TOU,1639,1890,0.8671957671957672
D03-II,20,Demand,0,1890,0.0
D03-II,20,Compressible,0,1890,0.0
D03-II,21,Normal,0,1755,0.0
D03-II,21,Resource,0,1755,0.0
D03-II,21,KV,0,1755,0.0
D03-II,21,Region,278,1755,0.15840455840455842
D03-II,21,TOU,1477,1755,0.8415954415954416
D03-II,21,Demand,0,1755,0.0
D03-II,21,Compressible,0,1755,0.0
D03-II,22,Normal,0,1945,0.0
D03-II,22,Resource,0,1945,0.0
D03-II,22,KV,0,1945,0.0
D03-II,22,Region,325,1945,0.16709511568123395
D03-II,22,TOU,1620,1945,0.8329048843187661
D03-II,22,Demand,0,1945,0.0
D03-II,22,Compressible,0,1945,0.0
D03-II,23,Normal,0,1850,0.0
D03-II,23,Resource,0,1850,0.0
D03-II,23,KV,0,1850,0.0
D03-II,23,Region,270,1850,0.14594594594594595
D03-II,23,TOU,1580,1850,0.8540540540540541
D03-II,23,Demand,0,1850,0.0
D03-II,23,Compressible,0,1850,0.0
D03-II,24,Normal,0,1790,0.0
D03-II,24,Resource,0,1790,0.0
D03-II,24,KV,0,1790,0.0
D03-II,24,Region,265,1790,0.14804469273743018
D03-II,24,TOU,1525,1790,0.8519553072625698
D03-II,24,Demand,0,1790,0.0
D03-II,24,Compressible,0,1790,0.0
D03-II,25,Normal,0,2125,0.0
D03-II,25,Resource,0,2125,0.0
D03-II,25,KV,0,2125,0.0
D03-II,25,Region,333,2125,0.15670588235294117
D03-II,25,TOU,1792,2125,0.8432941176470589
D03-II,25,Demand,0,2125,0.0
D03-II,25,Compressible,0,2125,0.0
D03-II,26,Normal,0,2020,0.0
D03-II,26,Resource,0,2020,0.0
D03-II,26,KV,0,2020,0.0
D03-II,26,Region,390,2020,0.19306930693069307
D03-II,26,TOU,1630,2020,0.806930693069307
D03-II,26,Demand,0,2020,0.0
D03-II,26,Compressible,0,2020,0.0
D03-II,27,Normal,0,2100,0.0
D03-II,27,Resource,0,2100,0.0
D03-II,27,KV,0,2100,0.0
D03-II,27,Region,350,2100,0.16666666666666666
D03-II,27,TOU,1750,2100,0.8333333333333334
D03-II,27,Demand,0,2100,0.0
D03-II,27,Compressible,0,2100,0.0
D03-II,28,Normal,0,2100,0.0
D03-II,28,Resource,0,2100,0.0
D03-II,28,KV,0,2100,0.0
D03-II,28,Region,387,2100,0.18428571428571427
D03-II,28,TOU,1708,2100,0.8133333333333334
D03-II,28,Demand,5,2100,0.002380952380952381
D03-II,28,Compressible,0,2100,0.0
D03-II,29,Normal,0,1990,0.0
D03-II,29,Resource,0,1990,0.0
D03-II,29,KV,0,1990,0.0
D03-II,29,Region,380,1990,0.19095477386934673
D03-II,29,TOU,1610,1990,0.8090452261306532
D03-II,29,Demand,0,1990,0.0
D03-II,29,Compressible,0,1990,0.0
D03-II,30,Normal,0,1925,0.0
D03-II,30,Resource,0,1925,0.0
D03-II,30,KV,0,1925,0.0
D03-II,30,Region,380,1925,0.1974025974025974
D03-II,30,TOU,1545,1925,0.8025974025974026
D03-II,30,Demand,0,1925,0.0
D03-II,30,Compressible,0,1925,0.0
D03-II,31,Normal,0,2085,0.0
D03-II,31,Resource,0,2085,0.0
D03-II,31,KV,0,2085,0.0
D03-II,31,Region,391,2085,0.18752997601918464
D03-II,31,TOU,1694,2085,0.8124700239808154
D03-II,31,Demand,0,2085,0.0
D03-II,31,Compressible,0,2085,0.0
D03-II,32,Normal,0,2015,0.0
D03-II,32,Resource,0,2015,0.0
D03-II,32,KV,0,2015,0.0
D03-II,32,Region,335,2015,0.1662531017369727
D03-II,32,TOU,1680,2015,0.8337468982630273
D03-II,32,Demand,0,2015,0.0
