suite,condition,action,n,positive_share,mean_reward,zero_feasible_share,zero_proposal_share,accepted_share,accepted_n,accepted_bill_decrease_share,accepted_flow_decrease_share,accepted_flow_increase_share,accepted_mean_delta_flow,accepted_mean_delta_bill
D03-I,Normal,A2,521,0.11516314779270634,0.16258389811267335,0.0,0.0,0.11516314779270634,60,0.85,0.4166666666666667,0.5,5.0,-4.0379999999999505
D03-I,Normal,A3,581,0.0774526678141136,0.1933459664465133,0.0,0.0,0.0774526678141136,45,0.8666666666666667,0.6444444444444445,0.3111111111111111,-54.666666666666664,-3.0026666666666113
D03-I,Normal,A4,462,0.07575757575757576,0.048975160985075795,0.08225108225108226,0.08225108225108226,0.07575757575757576,35,0.7714285714285715,0.5714285714285714,0.37142857142857144,-26.571428571428573,-2.7840000000000407
D03-I,Normal,A5,334,0.059880239520958084,-0.042487240044951004,0.20958083832335328,0.20958083832335328,0.059880239520958084,20,0.85,0.35,0.6,37.5,-4.415999999999803
D03-I,Normal,A6,298,0.0,0.0,0.0,0.0,0.0,0,,,,,
D03-I,Normal,A7,2901,0.2526714925887625,0.7631691185245243,0.015167183729748363,0.015167183729748363,0.2526714925887625,733,1.0,0.0,0.9890859481582538,84.43383356070942,-0.8730695770805021
D03-I,Normal,A8,141,0.04964539007092199,-0.2420914393045423,0.624113475177305,0.624113475177305,0.04964539007092199,7,1.0,0.0,0.8571428571428571,1131.4285714285713,-6.942857142857098
D03-I,Region,A1,19672,0.1298800325335502,0.5093156346226624,0.0,0.0,0.1298800325335502,2555,0.6923679060665362,0.7311154598825832,0.18395303326810175,-174.20156555772994,-1.864894324853227
D03-I,Region,A2,23053,0.13039517633279835,0.686529591024399,0.0,0.0,0.13039517633279835,3006,0.6523619427811045,0.8423153692614771,0.06254158349966733,-197.02594810379242,-1.9210079840319352
D03-I,Region,A3,12573,0.030859778891274954,0.165024866128745,0.0,0.0,0.030859778891274954,388,0.7783505154639175,0.5,0.1211340206185567,-255.48969072164948,2.488750000000008
D03-I,Region,A4,9669,0.09401179025752404,0.16271580371824704,0.13145102906195055,0.13145102906195055,0.09401179025752404,909,0.682068206820682,0.6545654565456546,0.24972497249724973,-122.47524752475248,-1.7480748074807515
D03-I,Region,A5,4380,0.08082191780821918,-0.32614686102576457,0.5105022831050229,0.5105022831050229,0.08082191780821918,354,0.5819209039548022,0.751412429378531,0.21468926553672316,-138.22033898305085,-1.8566242937853052
D03-I,Region,A6,12891,0.056395935148553254,0.32399408397862367,0.0,0.0,0.056395935148553254,727,0.8817056396148556,0.39614855570839064,0.45392022008253097,-34.74896836313618,-17.18865027510317
D03-I,Region,A7,33520,0.21739260143198091,0.7890865381645004,0.019928400954653938,0.019928400954653938,0.21739260143198091,7287,1.0,0.0006861534239055853,0.934266501989845,126.90887882530534,-2.853643474680936
D03-I,Region,A8,4104,0.06578947368421052,0.05002434869203005,0.42422027290448344,0.42422027290448344,0.06578947368421052,270,1.0,0.003703703703703704,0.937037037037037,643.9814814814815,-13.660847222222213
D03-I,Resource,A1,6445,0.24840961986035687,0.9215884877566777,0.0,0.0,0.24840961986035687,1601,0.6777014366021237,0.8376014990630856,0.13616489693941286,-590.4622111180512,-1.7551030605871376
D03-I,Resource,A2,4955,0.22280524722502523,0.8070057125689059,0.0,0.0,0.22280524722502523,1104,0.6847826086956522,0.8641304347826086,0.11322463768115942,-609.8641304347826,-1.4925000000000057
D03-I,Resource,A3,3205,0.12761310452418095,0.6992716062479695,0.0,0.0,0.12761310452418095,409,0.6821515892420538,0.8533007334963325,0.14425427872860636,-1090.4156479217604,-1.5729095354523197
D03-I,Resource,A4,4156,0.1831087584215592,0.741765057062043,0.0,0.0,0.1831087584215592,761,0.7017082785808147,0.6780551905387647,0.31011826544021026,-237.08278580814718,-2.1949277266754232
D03-I,Resource,A5,5395,0.22187210379981465,0.766811424939075,0.0007414272474513438,0.0007414272474513438,0.22187210379981465,1197,0.5087719298245614,0.8437761069340016,0.14954051796157058,-523.2832080200501,-0.9099749373433572
D03-I,Resource,A6,2132,0.07786116322701689,0.5530092302832844,0.0,0.0,0.07786116322701689,166,0.8313253012048193,0.6626506024096386,0.3253012048192771,-892.7710843373494,-14.140481927710855
D03-I,Resource,A7,7095,0.3736434108527132,0.7825269041956382,0.0923185341789993,0.0923185341789993,0.3736434108527132,2651,1.0,0.0015088645794039985,0.37797057714070165,327.1708789136175,-2.404617125612977
D03-I,Resource,A8,1091,0.09807516040329972,0.08460926251751623,0.6306141154903758,0.6306141154903758,0.09807516040329972,107,1.0,0.018691588785046728,0.822429906542056,1973.411214953271,-24.499906542056056
D03-I,TOU,A1,6219,0.1599935680977649,0.8849831199789772,0.0,0.0,0.1599935680977649,995,0.7135678391959799,0.7809045226130653,0.17889447236180905,-326.6532663316583,-1.8711407035175918
D03-I,TOU,A2,5281,0.1088808937701193,0.5286842958034881,0.0,0.0,0.1088808937701193,575,0.76,0.7165217391304348,0.1634782608695652,-272.3478260869565,-2.0578173913043534
D03-I,TOU,A3,3648,0.08278508771929824,0.4906617046549968,0.0,0.0,0.08278508771929824,302,0.8278145695364238,0.6192052980132451,0.18211920529801323,-279.2384105960265,-2.5143874172185394
D03-I,TOU,A4,3026,0.07633840052875082,0.3723635508838724,0.03007270323859881,0.03007270323859881,0.07633840052875082,231,0.6233766233766234,0.8051948051948052,0.16017316017316016,-294.54545454545456,-1.901883116883122
D03-I,TOU,A5,816,0.006127450980392157,-0.8826949006386511,0.9056372549019608,0.9056372549019608,0.006127450980392157,5,0.6,0.4,0.6,-132.0,-0.9900000000000093
D03-I,TOU,A6,3181,0.05218484753222257,0.32815348830511876,0.0,0.0,0.05218484753222257,166,0.9337349397590361,0.536144578313253,0.45180722891566266,-110.60240963855422,-8.5060843373494
D03-I,TOU,A7,10233,0.3244405355223297,0.9412111266327358,0.0574611550864849,0.0574611550864849,0.3244405355223297,3320,1.0,0.00030120481927710846,0.7475903614457832,119.41265060240964,-2.5109231927710907
D03-I,TOU,A8,996,0.06927710843373494,-0.14264263450748466,0.6495983935742972,0.6495983935742972,0.06927710843373494,69,1.0,0.0,0.9565217391304348,463.69565217391306,-10.061630434782625
D03-II,Compressible,A1,1,0.0,0.0,0.0,0.0,0.0,0,,,,,
D03-II,Compressible,A4,2,0.5,1.5384615229717857,0.0,0.0,0.5,1,1.0,1.0,0.0,-120.0,-24.96000000000004
