suite,condition,action,selection,n,positive,success,reward,no_feasible
D03-I,Resource,A7,0.20580727504786217,7095,2651,0.3736434108527132,0.7825269041956382,0.0923185341789993
D03-I,Resource,A8,0.031647038347740325,1091,107,0.09807516040329972,0.08460926251751623,0.6306141154903758
D03-I,TOU,A1,0.18619760479041916,6219,995,0.1599935680977649,0.8849831199789772,0.0
D03-I,TOU,A2,0.1581137724550898,5281,575,0.1088808937701193,0.5286842958034881,0.0
D03-I,TOU,A3,0.10922155688622755,3648,302,0.08278508771929824,0.4906617046549968,0.0
D03-I,TOU,A4,0.09059880239520958,3026,231,0.07633840052875082,0.3723635508838724,0.03007270323859881
D03-I,TOU,A5,0.024431137724550897,816,5,0.006127450980392157,-0.8826949006386511,0.9056372549019608
D03-I,TOU,A6,0.09523952095808383,3181,166,0.05218484753222257,0.32815348830511876,0.0
D03-I,TOU,A7,0.30637724550898204,10233,3320,0.3244405355223297,0.9412111266327358,0.0574611550864849
D03-I,TOU,A8,0.029820359281437125,996,69,0.06927710843373494,-0.14264263450748466,0.6495983935742972
D03-II,Compressible,A1,0.2,1,0,0.0,0.0,0.0
D03-II,Compressible,A4,0.4,2,1,0.5,1.5384615229717857,0.0
D03-II,Compressible,A5,0.2,1,0,0.0,-1.0,1.0
D03-II,Compressible,A8,0.2,1,0,0.0,0.0,0.0
D03-II,Demand,A1,0.15225563909774437,81,44,0.5432098765432098,2.6622114346566073,0.0
D03-II,Demand,A2,0.20676691729323307,110,71,0.6454545454545455,2.9957386814806792,0.0
D03-II,Demand,A3,0.17669172932330826,94,35,0.3723404255319149,2.1405418597684998,0.0
D03-II,Demand,A4,0.11090225563909774,59,19,0.3220338983050847,1.3429051861274959,0.01694915254237288
D03-II,Demand,A5,0.05075187969924812,27,2,0.07407407407407407,-0.7737300823092137,0.8148148148148148
D03-II,Demand,A6,0.06954887218045112,37,13,0.35135135135135137,2.664108891587714,0.0
D03-II,Demand,A7,0.15037593984962405,80,41,0.5125,1.8430884906708414,0.0
D03-II,Demand,A8,0.08270676691729323,44,19,0.4318181818181818,2.796439193436744,0.11363636363636363
D03-II,Region,A1,0.11731500797643883,1912,284,0.14853556485355648,0.6325884731263057,0.0
D03-II,Region,A2,0.14633697386182354,2385,479,0.20083857442348008,1.0888192185206067,0.0
D03-II,Region,A3,0.08651368266044913,1410,126,0.08936170212765958,0.48125240776068545,0.0
D03-II,Region,A4,0.08761811265185912,1428,202,0.14145658263305322,0.5197916406688646,0.018207282913165267
D03-II,Region,A5,0.02577003313289974,420,18,0.04285714285714286,-0.6061213180481947,0.7523809523809524
D03-II,Region,A6,0.07461038164191926,1216,165,0.1356907894736842,0.9175916771094088,0.0
D03-II,Region,A7,0.40661430850411096,6627,2222,0.3352950052814245,0.9796258194273362,0.0
D03-II,Region,A8,0.05522149957049945,900,160,0.17777777777777778,1.0952250643144117,0.27444444444444444
D03-II,TOU,A1,0.11533593300517804,9021,1809,0.20053209178583306,0.8368422017221392,0.0
D03-II,TOU,A2,0.15520040912868377,12139,2802,0.2308262624598402,1.0690275509955867,0.0
D03-II,TOU,A3,0.09682286006520488,7573,1074,0.14181962234253268,0.5025963522535086,0.0
D03-II,TOU,A4,0.08398644761235058,6569,843,0.12833003501293958,0.3977118037263339,0.011265032729486984
D03-II,TOU,A5,0.025225340407850155,1973,40,0.02027369488089204,-0.7282798041064332,0.7962493664470349
D03-II,TOU,A6,0.06480854056127341,5069,329,0.06490432037877293,0.4468917705998613,0.0
D03-II,TOU,A7,0.4060985744422425,31763,11738,0.3695494758051821,0.9658444729471891,0.0
D03-II,TOU,A8,0.052521894777216645,4108,554,0.13485881207400194,0.766533279974903,0.27531645569620256
