count,generation_bin,group,level,margin_mean,margin_median,margin_p90,suite
1085,1-10,type_ii_D03II_long_long_j50_i8103_a202_g50,run,0.5117041890067797,0.44755197363342947,0.8725336774986143,D03 Type-II
1310,11-20,type_ii_D03II_long_long_j50_i8103_a202_g50,run,0.8696114652563344,0.8781393752613682,0.9762278481093687,D03 Type-II
1115,21-30,type_ii_D03II_long_long_j50_i8103_a202_g50,run,0.883171082584873,0.8941641096338557,0.9599921643095783,D03 Type-II
1165,31-40,type_ii_D03II_long_long_j50_i8103_a202_g50,run,0.8494810097112917,0.8549250571753044,0.9436671189579637,D03 Type-II
845,41-50,type_ii_D03II_long_long_j50_i8103_a202_g50,run,0.7895490297710556,0.7785296669446473,0.8566462452427364,D03 Type-II
8020,all,type_ii_D03II_long_long_j50_i8103_a303_g50,run,0.801894043930435,0.8200545082898028,1.0601127537164974,D03 Type-II
155,Generation 1,type_ii_D03II_long_long_j50_i8103_a303_g50,run,0.3339450392167586,0.30954126685581285,0.5484392338495683,D03 Type-II
950,1-10,type_ii_D03II_long_long_j50_i8103_a303_g50,run,0.49868504396600666,0.5235154820718684,0.7730528384824709,D03 Type-II
1430,11-20,type_ii_D03II_long_long_j50_i8103_a303_g50,run,0.8211613725370221,0.8379577797681244,1.0922935357717962,D03 Type-II
1790,21-30,type_ii_D03II_long_long_j50_i8103_a303_g50,run,0.886473287233264,0.8805900621118008,1.0601127537164974,D03 Type-II
1840,31-40,type_ii_D03II_long_long_j50_i8103_a303_g50,run,0.8405543589674578,0.824074074074074,1.0601127537164974,D03 Type-II
2010,41-50,type_ii_D03II_long_long_j50_i8103_a303_g50,run,0.8207818274521269,0.8120224804435334,1.0203374382786148,D03 Type-II
5990,all,type_ii_D03II_long_long_j50_i8104_a101_g50,run,0.33888238950735633,0.3388041115555174,0.5877829048560754,D03 Type-II
140,Generation 1,type_ii_D03II_long_long_j50_i8104_a101_g50,run,0.36514026928965454,0.3075928261683215,0.7908005170884329,D03 Type-II
1100,1-10,type_ii_D03II_long_long_j50_i8104_a101_g50,run,0.39780188436022,0.31479786194725956,0.7594312325758215,D03 Type-II
810,11-20,type_ii_D03II_long_long_j50_i8104_a101_g50,run,0.4511579136133791,0.36073330844817075,1.0122035128030336,D03 Type-II
1150,21-30,type_ii_D03II_long_long_j50_i8104_a101_g50,run,0.3774029458872482,0.3583220640521936,0.39760252734021817,D03 Type-II
1410,31-40,type_ii_D03II_long_long_j50_i8104_a101_g50,run,0.312027776207234,0.3456206393963095,0.370372784723604,D03 Type-II
1520,41-50,type_ii_D03II_long_long_j50_i8104_a101_g50,run,0.23217959085753273,0.21848100255322223,0.36091751664764615,D03 Type-II
6165,all,type_ii_D03II_long_long_j50_i8104_a202_g50,run,0.3903298806971412,0.38364257417737924,0.7652966249277735,D03 Type-II
110,Generation 1,type_ii_D03II_long_long_j50_i8104_a202_g50,run,0.2656219716656469,0.22517261131019695,0.5727386518625003,D03 Type-II
1040,1-10,type_ii_D03II_long_long_j50_i8104_a202_g50,run,0.37137198086083895,0.33415557282957087,0.7010726122369264,D03 Type-II
915,11-20,type_ii_D03II_long_long_j50_i8104_a202_g50,run,0.5111265211875228,0.5498884220210392,0.9108136389158288,D03 Type-II
1560,21-30,type_ii_D03II_long_long_j50_i8104_a202_g50,run,0.45385704011734695,0.6575181049872187,0.764638702891262,D03 Type-II
1415,31-40,type_ii_D03II_long_long_j50_i8104_a202_g50,run,0.3225994700645592,0.10030360500885305,0.7634478933971008,D03 Type-II
1235,41-50,type_ii_D03II_long_long_j50_i8104_a202_g50,run,0.3141545382927992,0.42533042715423575,0.7403725702981607,D03 Type-II
6280,all,type_ii_D03II_long_long_j50_i8104_a303_g50,run,0.8007284830758715,0.8288595675863579,1.333990562375866,D03 Type-II
145,Generation 1,type_ii_D03II_long_long_j50_i8104_a303_g50,run,0.3960113291851847,0.38962775116621295,0.711736448965577,D03 Type-II
1170,1-10,type_ii_D03II_long_long_j50_i8104_a303_g50,run,0.5256545873479044,0.5489819466019308,0.8251145776692826,D03 Type-II
1145,11-20,type_ii_D03II_long_long_j50_i8104_a303_g50,run,0.6722743497560371,0.5533204384268215,1.4936332666351957,D03 Type-II
1330,21-30,type_ii_D03II_long_long_j50_i8104_a303_g50,run,0.9547739990802367,0.8765059705623219,1.3772514874105806,D03 Type-II
1240,31-40,type_ii_D03II_long_long_j50_i8104_a303_g50,run,0.9664160465489524,0.9291819291819294,1.3297794594073302,D03 Type-II
1395,41-50,type_ii_D03II_long_long_j50_i8104_a303_g50,run,0.842723698603116,0.78794222590881,1.3240072229765265,D03 Type-II
5790,all,type_ii_D03II_long_long_j50_i8105_a101_g50,run,0.35372487383547235,0.364158858049376,0.527984961967646,D03 Type-II
110,Generation 1,type_ii_D03II_long_long_j50_i8105_a101_g50,run,0.1266898890657046,0.11344204526664736,0.288527014948083,D03 Type-II
1205,1-10,type_ii_D03II_long_long_j50_i8105_a101_g50,run,0.2612346816438613,0.2558808998734199,0.4329258916662718,D03 Type-II
1085,11-20,type_ii_D03II_long_long_j50_i8105_a101_g50,run,0.34600395290524777,0.34978502983821325,0.45158409305559977,D03 Type-II
1080,21-30,type_ii_D03II_long_long_j50_i8105_a101_g50,run,0.3906377862903223,0.4210130462256986,0.5007831298293164,D03 Type-II
1190,31-40,type_ii_D03II_long_long_j50_i8105_a101_g50,run,0.4266663865112981,0.40332474022313614,0.627799300035936,D03 Type-II
1230,41-50,type_ii_D03II_long_long_j50_i8105_a101_g50,run,0.34816514640841095,0.3623808159958455,0.544360802505753,D03 Type-II
5415,all,type_ii_D03II_long_long_j50_i8105_a202_g50,run,0.4391459924950622,0.4741397590859959,0.5474166020606515,D03 Type-II
140,Generation 1,type_ii_D03II_long_long_j50_i8105_a202_g50,run,0.17582177158751408,0.12515799084984414,0.32944840628760885,D03 Type-II
980,1-10,type_ii_D03II_long_long_j50_i8105_a202_g50,run,0.3276432213202427,0.29306687804411613,0.5564251108574589,D03 Type-II
1200,11-20,type_ii_D03II_long_long_j50_i8105_a202_g50,run,0.42595574605223147,0.47750729048933116,0.5564251108574589,D03 Type-II
1265,21-30,type_ii_D03II_long_long_j50_i8105_a202_g50,run,0.4658883994377591,0.4742535355402795,0.5463250212276909,D03 Type-II
1040,31-40,type_ii_D03II_long_long_j50_i8105_a202_g50,run,0.47742584001919414,0.47650569093873973,0.5474166020606515,D03 Type-II
930,41-50,type_ii_D03II_long_long_j50_i8105_a202_g50,run,0.49448021322098823,0.5082668713819496,0.5388657952058233,D03 Type-II
6910,all,type_ii_D03II_long_long_j50_i8105_a303_g50,run,0.4697587705602222,0.49955414456313707,0.5972514487531173,D03 Type-II
155,Generation 1,type_ii_D03II_long_long_j50_i8105_a303_g50,run,0.14089293695335287,0.0933994288397999,0.29099633310159567,D03 Type-II
985,1-10,type_ii_D03II_long_long_j50_i8105_a303_g50,run,0.2728601871589684,0.21090278930000195,0.5703777763589593,D03 Type-II
1260,11-20,type_ii_D03II_long_long_j50_i8105_a303_g50,run,0.48839328102781454,0.5029502118609341,0.6188958143156189,D03 Type-II
1515,21-30,type_ii_D03II_long_long_j50_i8105_a303_g50,run,0.5352328054720145,0.5428248638077879,0.6029285029171443,D03 Type-II
1605,31-40,type_ii_D03II_long_long_j50_i8105_a303_g50,run,0.4995735249388112,0.5076543590974829,0.5790944088435128,D03 Type-II
1545,41-50,type_ii_D03II_long_long_j50_i8105_a303_g50,run,0.48491720278809797,0.47206532653612965,0.5630412111080989,D03 Type-II
