count,generation_bin,group,level,p_above_threshold,p_argmax,p_argmax_given_above,ratio_iqr,ratio_max,ratio_mean,ratio_median,ratio_min,ratio_p90,ratio_p95,ratio_q1,ratio_q3,raw_max,raw_mean,raw_median,raw_min,raw_p90,raw_p95,raw_q1,raw_q3,severity,suite
1290,21-30,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.0,0.0,0.0,0.20028025222700113,0.6223717409587801,0.18591759130067723,0.2064896755162208,0.010060362173038061,0.35842293906809497,0.4148323883922413,0.06185567010309172,0.26213592233009286,0.12447434819175603,0.03718351826013544,0.041297935103244164,0.0020120724346076122,0.071684587813619,0.08296647767844827,0.012371134020618344,0.05242718446601857,kv,D03 Type-II
1290,21-30,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.6317829457364341,0.09844961240310078,0.1558282208588957,1.1611013347529187,2.2274562584118436,1.0784871937666076,1.158739479350167,0.055944055944055944,1.8573351278600265,2.131870193209529,0.49434954007884396,1.6554508748317627,0.44549125168236875,0.21569743875332154,0.23174789587003342,0.011188811188811189,0.37146702557200534,0.4263740386419058,0.0988699080157688,0.33109017496635257,region,D03 Type-II
1290,21-30,type_ii_D03II_long_long_j50_i8101_a101_g50,run,1.0,0.9015503875968992,0.9015503875968992,0.04518473535589118,2.199687987519501,2.0802176070266687,2.090493315381708,1.9489734299516908,2.1187175043327553,2.1263773047852874,2.060155640230963,2.105340375586854,0.43993759750390016,0.41604352140533385,0.41809866307634164,0.3897946859903382,0.4237435008665511,0.42527546095705754,0.41203112804619263,0.4210680751173709,tou,D03 Type-II
1290,21-30,type_ii_D03II_long_long_j50_i8101_a101_g50,run,1.0,0.0,0.0,0.11847876341410801,1.76663961038961,1.401830209065911,1.3984140182310913,1.0993650793650793,1.534166666666667,1.589033189033189,1.3480090311986863,1.4664877946127943,0.353327922077922,0.2803660418131822,0.2796828036462183,0.21987301587301586,0.30683333333333335,0.3178066378066378,0.2696018062397373,0.2932975589225589,demand,D03 Type-II
1290,21-30,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.0,0.0,0.0,0.14814814814814564,0.8835978835978681,0.5516467741273846,0.5291005291005197,0.19576719576719234,0.7248677248677121,0.7407407407407276,0.47089947089946255,0.6190476190476082,0.1767195767195736,0.11032935482547691,0.10582010582010395,0.03915343915343847,0.14497354497354242,0.14814814814814553,0.09417989417989252,0.12380952380952163,compressible,D03 Type-II
19600,21-30,D03 Type-II,suite,0.0007653061224489796,0.0,0.0,0.1454783748361706,1.1162079510703176,0.15520510169725,0.12499999999999752,0.0,0.3261977573904124,0.40211640211639504,0.06349206349206236,0.20897043832823295,0.2232415902140635,0.031041020339450002,0.024999999999999505,0.0,0.06523955147808248,0.08042328042327901,0.012698412698412475,0.041794087665646594,resource,D03 Type-II
19600,21-30,D03 Type-II,suite,0.0,0.0,0.0,0.14326524854777695,0.8520900321543293,0.12347998697294427,0.09704029455802014,0.0,0.26897659771269894,0.3414634146341408,0.039801113008283664,0.1830663615560606,0.17041800643086588,0.024695997394588855,0.019408058911604027,0.0,0.053795319542539785,0.06829268292682816,0.007960222601656733,0.03661327231121212,kv,D03 Type-II
19600,21-30,D03 Type-II,suite,0.4658673469387755,0.1713265306122449,0.3677581863979849,0.9937597762627195,3.525278753627615,1.108358038585867,0.9809193408499562,0.003640776699029264,2.428163333893463,2.4947257383966246,0.4856535600425078,1.4794133363052273,0.7050557507255231,0.22167160771717345,0.19618386816999125,0.0007281553398058528,0.48563266677869266,0.4989451476793249,0.09713071200850157,0.29588266726104545,region,D03 Type-II
19600,21-30,D03 Type-II,suite,1.0,0.8284183673469387,0.8284183673469387,0.05302853835348609,2.2829861111111107,2.111171279021641,2.1042617960426178,1.9489734299516908,2.167255594817432,2.2303499713138266,2.0781893004115224,2.1312178387650085,0.4565972222222222,0.4222342558043282,0.4208523592085236,0.3897946859903382,0.4334511189634865,0.44606999426276533,0.4156378600823045,0.4262435677530017,tou,D03 Type-II
19600,21-30,D03 Type-II,suite,0.9739795918367347,0.00025510204081632655,0.00026191723415400735,0.38278407525787483,2.2060391156843484,1.3786079088175422,1.3696979717813051,0.8495370370370371,1.7327316229755254,1.7927689594356262,1.174001452432825,1.5567855276906999,0.44120782313686974,0.27572158176350847,0.27393959435626103,0.16990740740740742,0.3465463245951051,0.3585537918871253,0.234800290486565,0.31135710553814,demand,D03 Type-II
19600,21-30,D03 Type-II,suite,0.005051020408163265,0.0,0.0,0.17635664113020927,1.5698267074413597,0.5594457374656291,0.5396825396825302,0.18418201516792734,0.7583965330444067,0.8205912334352562,0.46286329386436204,0.6392199349945713,0.31396534148827193,0.11188914749312581,0.10793650793650604,0.03683640303358547,0.15167930660888135,0.16411824668705124,0.09257265877287241,0.12784398699891428,compressible,D03 Type-II
1545,31-40,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.0,0.0,0.0,0.10052910052909876,0.3862433862433794,0.11137480522593594,0.09523809523809355,0.01587301587301559,0.20634920634920273,0.2275132275132235,0.05291005291005198,0.15343915343915074,0.07724867724867589,0.02227496104518719,0.019047619047618713,0.0031746031746031187,0.04126984126984055,0.045502645502644705,0.010582010582010396,0.03068783068783015,resource,D03 Type-II
1545,31-40,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.0,0.0,0.0,0.16968700074680904,0.45119705340699123,0.1284179144374833,0.12896825396825184,0.010204081632652889,0.2681992337164708,0.2799227799227754,0.010493179433368128,0.18018018018017717,0.09023941068139825,0.02568358288749666,0.02579365079365037,0.0020408163265305777,0.05363984674329417,0.05598455598455509,0.0020986358866736258,0.03603603603603544,kv,D03 Type-II
1545,31-40,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.7087378640776699,0.003236245954692557,0.0045662100456621,1.2348952972493348,2.1688136896750625,1.1124000967418561,1.3708902134204954,0.03479490806223531,1.6554508748317627,1.6554508748317627,0.3161047027506648,1.5509999999999995,0.4337627379350125,0.22248001934837125,0.2741780426840991,0.006958981612447062,0.33109017496635257,0.33109017496635257,0.06322094055013297,0.3101999999999999,region,D03 Type-II
1545,31-40,type_ii_D03II_long_long_j50_i8101_a101_g50,run,1.0,0.9967637540453075,0.9967637540453075,0.03497783339876959,2.142650462962963,2.086587355510086,2.0941278065630398,1.9947139303482586,2.1235983314930684,2.12995337995338,2.068610129564193,2.103587962962963,0.4285300925925926,0.4173174711020173,0.41882556131260795,0.3989427860696517,0.4247196662986137,0.42599067599067597,0.41372202591283863,0.4207175925925926,tou,D03 Type-II
